timestamp,open,high,low,close,volume
2021-06-14,291.0000,291.5500,287.9400,290.9100,1489425
2021-06-11,291.5800,292.6800,289.9500,291.2200,1437665
2021-06-10,292.1500,293.1100,290.2000,290.3300,1311008
2021-06-09,292.3100,294.4900,290.1700,290.4800,1720880
2021-06-08,293.4800,294.2800,291.3600,292.5000,1721833
2021-06-07,297.4200,297.9900,291.1350,291.5800,3591489
2021-06-04,299.9600,301.7400,298.5500,299.8600,1362256
2021-06-03,297.6200,298.7100,296.0500,298.3200,1608217
2021-06-02,302.3100,302.3700,299.3200,299.8800,1562797
2021-06-01,305.1700,305.7100,301.2700,302.2600,1418209
2021-05-28,302.5900,302.9900,300.0000,300.6000,1430900
2021-05-27,300.7400,301.7100,299.7700,300.7800,1710855
2021-05-26,301.1000,301.5900,297.4650,299.7700,1411614
2021-05-25,302.4100,302.6900,300.2200,301.2500,1330407
2021-05-24,301.1500,303.0700,300.5500,301.2700,1058332
2021-05-21,299.7400,302.0300,298.3400,298.5700,1923511
2021-05-20,297.5100,300.8200,297.5100,298.1300,1272984
2021-05-19,294.6800,296.4900,291.5400,296.0700,1882578
2021-05-18,301.3100,301.8100,297.8100,298.0000,1305899
2021-05-17,302.1900,303.2100,299.0000,300.8800,1143164
2021-05-14,299.5700,301.8400,298.9800,301.1700,1210564
2021-05-13,294.5800,298.7900,293.8300,297.9500,1570638
2021-05-12,294.9400,297.7700,293.2900,293.9800,1776018
